Country,EU,5% beer,12.5% wine,12.5% sparking wine,5% cider,40% spirits,VAT,Indexing,pBeer,pWine,pSpirits,totAlc,lBeer,lWine,lSpirits,prodWine,prodBeertot,pop,prodBeer
Austria,1,0.079284913,0,0.12685586,0,0.19028379,0.2,0,0.54,0.32,0.15,11.4,6.099,3.6024,1.6986,23.3,920627,8600,107.0496512
Belgium,1,0.079187136,0.094705144,0.32406213,0.075578103,0.47296451,0.21,1,0.44,0.38,0.14,10.36,4.59984,3.96788,1.47112,1.3,2061600,12000,171.8
Bulgaria,1,0.069459514,0,0,0,0.203747908,0.2,0,0.39,0.17,0.43,11.49,4.45812,1.97628,4.92921,16.7,489000,7200,67.91666667
Cyprus,1,0.117413926,0,0,0,0.187239988,0.19,0,0.3,0.28,0.42,9.55,2.83635,2.7122,4.00145,,,,
Czech Republic,1,0.07751728,0,0.181390436,0,0.276155311,0.21,0,0.53,0.21,0.25,12.99,6.92367,2.76687,3.29946,,,,
Germany,1,0.03206404,0,0.177309661,0,0.212347875,0.19,0,0.53,0.28,0.19,10.9,5.7334,3.0956,2.0601,10.9,9495700,82600,114.9600484
Denmark,1,0.09828931,0.162961641,0.209983303,0.187384832,0.263180944,0.25,0,0.37,0.45,0.17,9.55,3.5717,4.26885,1.63305,0,610700,5700,107.1403509
Estonia,1,0.390078312,0.27263062,0.27263062,0.38920225,0.578201186,0.2,0,0.33,0.07,0.5,15.35,5.01945,1.1359,7.72105,,,,
Greece,1,0.265282352,0.033956141,0.033956141,0.084890353,0.519953411,0.24,0,0.32,0.46,0.22,6.52,2.0538,2.9666,1.42136,23.6,380000,11000,34.54545455
Spain,1,0.0384725,0,0,0,0.185204913,0.21,1,0.54,0.18,0.28,8.58,4.65036,1.5444,2.38524,85.4,3620000,46000,78.69565217
Finland,1,0.499451304,0.430469422,0.430469422,0.525442441,0.672257241,0.24,0,0.49,0.21,0.22,8.43,4.11384,1.73658,1.81245,0,601000,5510,109.0744102
France,1,0.118262445,0.004819752,0.011921875,0.004239597,0.277492787,0.2,1,0.19,0.59,0.21,11.74,2.20712,6.90312,2.43018,65.2,2468000,66700,37.00149925
Croatia,1,0.145744995,0,0,0,0.193112119,0.25,0,0.45,0.39,0.13,10.32,4.5924,4.0248,1.3416,10.6,341667,4250,80.39223529
Hungary,1,0.148136664,0,0.120411333,0.180507268,0.304855196,0.27,0,0.36,0.32,0.32,10.9,3.8695,3.5098,3.5207,19.3,623900,9850,63.34010152
Ireland,1,0.352131899,0.5307307,1.061461399,0.295010015,0.664756317,0.23,0,0.47,0.28,0.19,11.46,5.3862,3.2088,2.15448,0,800000,4700,170.212766
Italy,1,0.133325825,0,0,0,0.182862991,0.22,1,0.25,0.65,0.1,7.08,1.79832,4.58784,0.69384,82.5,1296800,61700,21.0178282
Lithuania,1,0.195769473,0.362726967,0.362726967,0.360480161,0.458458515,0.21,0,0.44,0.07,0.37,13.61,5.93396,0.99353,5.04931,,,,
Luxembourg,1,0.028285626,0,0,0,0.148491913,0.17,0,0.35,0.45,0.2,11.22,3.97188,5.00412,2.244,1.3,2061600,12000,171.8
Latvia,1,0.172231175,0.186414919,0.186414919,0.324199859,0.422979504,0.21,0,0.43,0.11,0.4,11.19,4.78932,1.24209,4.476,,,,
Malta,1,0.10131376,0.03443618,0.03443618,0.008399068,0.28556832,0.18,0,0.36,0.3,0.29,8.02,2.91928,2.39798,2.30174,,,,
Netherlands,1,0.118296657,0.110069492,0.110069492,0.137867337,0.262708329,0.21,0,0.48,0.36,0.16,8.03,3.83834,2.87474,1.31692,0,2455900,17000,144.4647059
Poland,1,0.137535081,0.089265388,0.089265388,0.137005421,0.402824187,0.23,0,0.56,0.08,0.36,10.43,5.85123,0.81354,3.76523,,,,
Portugal,1,0.089600484,0,0,0.044778796,0.297438006,0.23,1,0.26,0.62,0.08,10.66,2.78226,6.5559,0.82082,57.7,729000,10400,70.09615385
Romania,1,0.061782607,0,0,0,0.247653145,0.19,1,0.56,0.28,0.16,10.4,5.7824,2.9224,1.7056,16.7,1658060,19800,83.74040404
Sweden,1,0.281928136,0.292312024,0.292312024,0.379067732,0.720996316,0.25,0,0.36,0.48,0.14,7.18,2.61352,3.43204,1.01238,0,461400,9900,46.60606061
Slovenia,1,0.255881256,0,0,0,0.279143188,0.22,0,0.41,0.51,0.08,10.51,4.35114,5.31806,0.8408,,,,
Slovakia,1,0.092192509,0,0.16377214,0,0.277579898,0.2,0,0.34,0.21,0.42,10.14,3.41718,2.11926,4.24866,,,,
UK,1,0.339719298,0.411152936,0.52662901,0.143793137,0.511715546,0.2,0,0.35,0.36,0.23,2.1,0.735,0.7497,0.4725,0.1,4373400,65600,66.66768293
Albania,0,0.200553153,0.225975384,0.225975384,0,0.238686499,0.2,0,0.34,0.26,0.37,5.07,1.74,1.34,1.9,,,,
Andorra,0,0,0,0,0,0,0.045,0,0.34,0.42,0.24,10.06,3.43,4.22,2.41,,,,
Armenia,0,0.135394791,0.051578968,0.051578968,0.348158035,0.145065848,0.2,0,0.11,0.07,0.82,3.77,0.4,0.26,3.1,,,,
Azerbaijan,0,1.056414897,0.869988738,1.242841055,2.174971846,0.776775659,0.18,0,0.62,0.36,0.00,0.39,0.24,0.14,0,,,,
Belarus,0,0.151438871,0.138458396,0.138458396,0.056248723,0.303743107,0.2,1,0.23,0.02,0.49,10.05,2.29,0.23,4.92,,,,
Bosnia and Herzegovina,0,0.072754681,0.03637734,0.03637734,0.090943351,0.272830054,0.17,0,0.76,0.09,0.12,4.44,3.37,0.38,0.55,,,,
Georgia,0,0.001593139,0,0,0.159313888,0.298713539,0.18,0,0.18,0.43,0.38,7.44,1.37,3.2,2.86,,,,
Iceland,0,0.5932283,0.805692051,0.805692051,0,1.303154292,0.24,0,0.57,0.28,0.15,7.5,4.24,2.09,1.16,,,,
Israel,0,0.154873266,0,0,0,0.284939991,0.17,1,0.55,0.05,0.40,2.64,1.44,0.12,1.05,,,,
Kazakhstan,0,0.09080566,0.032596904,0.032596904,0.029104378,0.232835025,0.12,0,0.31,0.07,0.63,5.8,1.77,0.38,3.65,,,,
Kyrgyzstan,0,0.191498565,0.054070183,0.202763187,0,0.098565438,0.12,0,0.12,0.02,0.86,3.91,0.45,0.08,3.37,,,,
Monaco,0,0.118262445,0.004819752,0.011921875,0.004239597,0.277492787,0.2,1,0.19,0.59,0.21,11.74,2.20712,6.90312,2.43018,,,,
Montenegro,0,0.175079055,0,0.098044271,0,0.227602772,0.21,0,0.11,0.43,0.44,6.41,0.69,2.76,2.83,,,,
Norway,0,0.616927035,0.616927035,0.606936314,0.616927035,0.931634753,0.25,0,0.44,0.37,0.17,6.03,2.65,2.21,1.01,,,,
Moldova,0,0.066280345,0,0,0.341651265,0.119577943,0.2,1,0.16,0.57,0.25,9.3,1.5,5.26,2.35,,,,
Russian Federation,0,0.221225303,0.021069076,0.058993414,0.221225303,0.275478175,0.18,0,0.39,0.13,0.39,8.42,3.29,1.08,3.25,,,,
San Marino,0,0.135816422,0,0,0,0.186278968,0.22,1,0.25,0.65,0.10,7.08,1.79832,4.58784,0.69384,,,,
Serbia,0,0.14697703,0,0.303792718,0,0.155417056,0.2,1,0.32,0.42,0.25,9.17,2.94,3.89,2.32,,,,
Switzerland,0,0.05270651,0,0,0,0.30183428,0.077,0,0.32,0.48,0.19,9.43,3.03,4.54,1.75,,,,
Tajikistan,0,0.443949566,0.253685466,0.253685466,0,0.158553417,0.18,1,0.38,0.01,0.62,0.91,0.35,0.01,0.56,,,,
The Former Yugoslav Republic of Macedonia,0,0.260064503,0,0,0.221054828,0.221054828,0.18,0,0.35,0.47,0.17,4.83,1.7,2.25,0.84,,,,
Turkey,0,1.181590783,0.464743868,2.930779331,0,1.53772249,0.18,1,0.57,0.09,0.34,1.29,0.74,0.11,0.44,,,,
Turkmenistan,0,0.710054766,1.420109532,1.420109532,3.55027383,0.665676343,0.15,0,0.27,0.35,0.38,3.43,0.92,1.21,1.31,,,,
Ukraine,0,0.087164768,0.000125417,0.146110725,0.033235487,0.199036671,0.2,1,0.42,0.05,0.52,5.82,2.46,0.31,3,,,,
Uzbekistan,0,0.145436966,0.057648892,0.090671425,0,0.153169538,0.2,1,0.34,0.09,0.57,1.6,0.55,0.14,0.91,,,,
